YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2021,AK,Total Electric Power Industry,Total,"6,595,818"
2021,AK,Total Electric Power Industry,Coal,"752,894"
2021,AK,Total Electric Power Industry,Hydroelectric Conventional,"1,688,900"
2021,AK,Total Electric Power Industry,Natural Gas,"3,085,396"
2021,AK,Total Electric Power Industry,Other,"-4,141"
2021,AK,Total Electric Power Industry,Petroleum,"902,486"
2021,AK,Total Electric Power Industry,Solar Thermal and Photovoltaic,0
2021,AK,Total Electric Power Industry,Other Biomass,"38,071"
2021,AK,Total Electric Power Industry,Wind,"132,212"
2021,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2021,AK,"Combined Heat and Power, Industrial Power",Total,"110,308"
2021,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"64,878"
2021,AK,"Combined Heat and Power, Industrial Power",Petroleum,"45,430"
2021,AK,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,AK,"Combined Heat and Power, Commercial Power",Total,"352,265"
2021,AK,"Combined Heat and Power, Commercial Power",Coal,"144,280"
2021,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"169,188"
2021,AK,"Combined Heat and Power, Commercial Power",Natural Gas,26
2021,AK,"Combined Heat and Power, Commercial Power",Petroleum,701
2021,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"38,071"
2021,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2021,AK,"Combined Heat and Power, Electric Power",Total,"177,115"
2021,AK,"Combined Heat and Power, Electric Power",Coal,"177,115"
2021,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2021,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2021,AK,"Electric Generators, Independent Power Producers",Total,"45,413"
2021,AK,"Electric Generators, Independent Power Producers",Wind,"45,413"
2021,AK,"Electric Generators, Electric Utilities",Total,"5,910,717"
2021,AK,"Electric Generators, Electric Utilities",Coal,"431,500"
2021,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,519,712"
2021,AK,"Electric Generators, Electric Utilities",Natural Gas,"3,020,493"
2021,AK,"Electric Generators, Electric Utilities",Other,"-4,141"
2021,AK,"Electric Generators, Electric Utilities",Petroleum,"856,355"
2021,AK,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2021,AK,"Electric Generators, Electric Utilities",Wind,"86,799"
2021,AL,Total Electric Power Industry,Total,"142,733,330"
2021,AL,Total Electric Power Industry,Coal,"26,900,909"
2021,AL,Total Electric Power Industry,Hydroelectric Conventional,"11,520,809"
2021,AL,Total Electric Power Industry,Natural Gas,"54,447,875"
2021,AL,Total Electric Power Industry,Nuclear,"46,036,489"
2021,AL,Total Electric Power Industry,Other Gases,65
2021,AL,Total Electric Power Industry,Other,28
2021,AL,Total Electric Power Industry,Petroleum,"21,915"
2021,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"493,995"
2021,AL,Total Electric Power Industry,Other Biomass,"43,940"
2021,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"3,267,305"
2021,AL,"Combined Heat and Power, Industrial Power",Total,"4,956,093"
2021,AL,"Combined Heat and Power, Industrial Power",Coal,21
2021,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"1,682,648"
2021,AL,"Combined Heat and Power, Industrial Power",Other Gases,65
2021,AL,"Combined Heat and Power, Industrial Power",Other,0
2021,AL,"Combined Heat and Power, Industrial Power",Petroleum,"6,055"
2021,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2021,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"3,267,305"
2021,AL,"Combined Heat and Power, Electric Power",Total,"4,031,284"
2021,AL,"Combined Heat and Power, Electric Power",Natural Gas,"4,031,284"
2021,AL,"Electric Generators, Independent Power Producers",Total,"26,941,613"
2021,AL,"Electric Generators, Independent Power Producers",Natural Gas,"26,416,295"
2021,AL,"Electric Generators, Independent Power Producers",Other,28
2021,AL,"Electric Generators, Independent Power Producers",Petroleum,"11,648"
2021,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"469,702"
2021,AL,"Electric Generators, Independent Power Producers",Other Biomass,"43,940"
2021,AL,"Electric Generators, Electric Utilities",Total,"106,804,340"
2021,AL,"Electric Generators, Electric Utilities",Coal,"26,900,889"
2021,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"11,520,809"
2021,AL,"Electric Generators, Electric Utilities",Natural Gas,"22,317,648"
2021,AL,"Electric Generators, Electric Utilities",Nuclear,"46,036,489"
2021,AL,"Electric Generators, Electric Utilities",Petroleum,"4,212"
2021,AL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"24,293"
2021,AR,Total Electric Power Industry,Total,"61,100,068"
2021,AR,Total Electric Power Industry,Coal,"21,418,877"
2021,AR,Total Electric Power Industry,Pumped Storage,"83,706"
2021,AR,Total Electric Power Industry,Hydroelectric Conventional,"4,028,679"
2021,AR,Total Electric Power Industry,Natural Gas,"20,629,134"
2021,AR,Total Electric Power Industry,Nuclear,"13,555,684"
2021,AR,Total Electric Power Industry,Other,"7,572"
2021,AR,Total Electric Power Industry,Petroleum,"55,532"
2021,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,"462,281"
2021,AR,Total Electric Power Industry,Other Biomass,"61,417"
2021,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"797,187"
2021,AR,"Combined Heat and Power, Industrial Power",Total,"1,083,567"
2021,AR,"Combined Heat and Power, Industrial Power",Coal,"34,190"
2021,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"240,744"
2021,AR,"Combined Heat and Power, Industrial Power",Other,"8,019"
2021,AR,"Combined Heat and Power, Industrial Power",Petroleum,141
2021,AR,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"3,286"
2021,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"797,187"
2021,AR,"Combined Heat and Power, Commercial Power",Total,"65,161"
2021,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"42,315"
2021,AR,"Combined Heat and Power, Commercial Power",Other,-447
2021,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"18,826"
2021,AR,"Combined Heat and Power, Commercial Power",Other Biomass,"4,468"
2021,AR,"Combined Heat and Power, Electric Power",Total,"999,324"
2021,AR,"Combined Heat and Power, Electric Power",Natural Gas,"999,324"
2021,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2021,AR,"Combined Heat and Power, Electric Power",Other Biomass,0
2021,AR,"Electric Generators, Independent Power Producers",Total,"4,597,642"
2021,AR,"Electric Generators, Independent Power Producers",Coal,"4,034,328"
2021,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"60,208"
2021,AR,"Electric Generators, Independent Power Producers",Petroleum,"11,891"
2021,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"434,266"
2021,AR,"Electric Generators, Independent Power Producers",Other Biomass,"56,949"
2021,AR,"Electric Generators, Electric Utilities",Total,"54,354,374"
2021,AR,"Electric Generators, Electric Utilities",Coal,"17,350,359"
2021,AR,"Electric Generators, Electric Utilities",Pumped Storage,"83,706"
2021,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"3,968,471"
2021,AR,"Electric Generators, Electric Utilities",Natural Gas,"19,346,751"
2021,AR,"Electric Generators, Electric Utilities",Nuclear,"13,555,684"
2021,AR,"Electric Generators, Electric Utilities",Petroleum,"43,500"
2021,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"5,903"
2021,AZ,Total Electric Power Industry,Total,"108,604,620"
2021,AZ,Total Electric Power Industry,Coal,"14,300,572"
2021,AZ,Total Electric Power Industry,Pumped Storage,"90,895"
2021,AZ,Total Electric Power Industry,Hydroelectric Conventional,"5,972,854"
2021,AZ,Total Electric Power Industry,Natural Gas,"48,053,133"
2021,AZ,Total Electric Power Industry,Nuclear,"31,629,862"
2021,AZ,Total Electric Power Industry,Other,"-7,543"
2021,AZ,Total Electric Power Industry,Petroleum,"43,534"
2021,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"6,710,877"
2021,AZ,Total Electric Power Industry,Other Biomass,"19,470"
2021,AZ,Total Electric Power Industry,Wind,"1,600,319"
2021,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"190,646"
2021,AZ,"Combined Heat and Power, Commercial Power",Total,"150,887"
2021,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"132,109"
2021,AZ,"Combined Heat and Power, Commercial Power",Petroleum,15
2021,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"18,763"
2021,AZ,"Combined Heat and Power, Electric Power",Total,"52,607"
2021,AZ,"Combined Heat and Power, Electric Power",Natural Gas,"52,607"
2021,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2021,AZ,"Electric Generators, Independent Power Producers",Total,"21,988,689"
2021,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"14,224,925"
2021,AZ,"Electric Generators, Independent Power Producers",Other,"-6,329"
2021,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"5,959,658"
2021,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"19,470"
2021,AZ,"Electric Generators, Independent Power Producers",Wind,"1,600,319"
2021,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"190,646"
2021,AZ,"Electric Generators, Electric Utilities",Total,"86,412,437"
2021,AZ,"Electric Generators, Electric Utilities",Coal,"14,300,572"
2021,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"90,895"
2021,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"5,972,854"
2021,AZ,"Electric Generators, Electric Utilities",Natural Gas,"33,643,492"
2021,AZ,"Electric Generators, Electric Utilities",Nuclear,"31,629,862"
2021,AZ,"Electric Generators, Electric Utilities",Other,"-1,214"
2021,AZ,"Electric Generators, Electric Utilities",Petroleum,"43,519"
