State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,"6,800","7,313","7,453","7,793","8,102","8,519","8,328","8,457","8,486","8,455","8,835","9,094","8,673","7,844","8,329","8,608","9,201","11,449","10,809","10,733","8,321","9,216","8,745","9,591","11,152","11,783","10,707","12,004","12,761","18,342","18,357","17,357","18,300","20,551","23,590","23,142","21,915","15,583","13,638","10,605","12,375","17,446","18,269","19,607","18,876","15,930","13,481","14,286","13,126","15,912","17,148","16,702","17,831","18,931","22,760","23,819","26,254","24,447","24,996","23,608","25,527","24,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,"112,809","118,021","125,564","112,682","137,992","121,888","121,238","144,384","129,673","131,856","132,471","158,182","164,946","181,706","166,734","184,701","160,994","174,751","148,341","190,737","238,766","213,355","265,548","282,179","288,127","248,632","215,783","233,511","216,597","304,351","253,287","257,202","257,599","269,514","334,002","322,116","323,721","300,020","317,349","290,232","263,303","252,841","253,609","284,732","293,280","279,983","266,931","229,491","237,856","274,392","266,139","279,972","265,964","336,863","293,890","284,365","259,513","285,081","301,170","298,545","308,209","303,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,"48,104","51,144","47,637","41,897","42,732","46,425","51,697","46,124","64,986","64,813","56,933","53,579","53,917","81,723","81,339","71,589","62,300","69,746","77,088","80,773","69,996","68,248","77,652","95,412","91,646","109,251","91,234","86,688","92,546","119,759","110,505","110,143","112,813","133,803","119,609","117,506","118,019","124,045","114,927","110,822","108,634","94,022","108,652","107,933","112,971","112,738","100,633","121,766","126,307","130,887","138,624","135,133","125,377","132,370","131,625","129,264","127,831","121,635","124,834","132,189","118,123","114,123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,"36,181","35,083","34,533","34,861","34,271","50,095","58,060","56,423","63,456","67,840","68,919","74,136","75,189","79,348","82,058","80,897","84,428","75,681","79,870","83,414","120,006","92,583","94,968","175,999","188,831","171,680","175,103","123,114","98,749","101,497","94,753","88,774","87,528","86,942","94,235","106,203","114,080","143,511","128,115","116,145","102,228","92,536","88,046","84,201","82,473","92,285","95,745","97,679","111,984","96,257","100,835","129,110","114,315","119,753","139,836","149,031","162,028","172,736","179,533","174,570","177,618","197,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,"270,161","248,178","329,046","360,333","331,757","418,518","375,877","473,192","397,366","544,918","521,978","533,790","472,312","553,162","645,073","578,578","422,852","338,073","576,601","559,806","591,928","503,653","702,806","811,004","696,738","594,659","668,070","524,440","515,854","742,255","672,945","658,090","642,456","822,369","635,959","854,499","824,917","767,346","838,169","764,472","741,658","615,198","684,544","768,593","768,889","819,440","897,576","707,404","680,290","725,594","836,280","953,565","818,490","897,358","903,692","911,138","1,116,287","1,314,777","1,213,958","1,373,488","1,244,897","1,334,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,"16,914","15,464","17,144","17,410","17,865","16,369","17,380","16,908","17,248","18,181","21,329","25,526","22,935","23,623","24,207","24,728","23,636","23,658","29,391","33,170","28,582","28,752","32,043","35,857","39,837","43,210","44,294","32,433","32,649","30,873","27,106","32,617","28,988","33,636","29,288","36,531","35,801","38,515","31,402","32,395","31,999","30,471","27,044","28,794","29,099","35,558","42,229","50,616","77,341","78,297","82,338","107,753","108,351","122,946","131,177","133,682","158,875","162,034","165,952","178,021","194,190","216,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,"17,406","17,076","15,937","16,253","16,703","15,500","16,243","18,072","18,657","19,701","19,293","20,206","22,712","21,870","22,509","22,237","23,862","24,105","26,391","29,359","43,748","42,958","41,481","48,199","41,112","40,389","35,551","30,809","34,409","36,042","34,712","35,008","39,390","39,678","40,824","46,227","56,334","51,004","49,471","49,593","50,913","29,919","28,612","32,973","42,965","29,171","35,689","36,171","36,453","41,664","43,526","43,360","38,975","42,952","45,472","46,764","47,868","46,758","49,572","48,862","46,777","51,792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,155,163,166,148,138,120,111,112,120,108,113,116,118,114,129,131,146,158,193,210,"2,849","2,312","3,654","2,564","3,226","3,327","3,049","2,229","2,382","2,515","1,283","1,347","1,411","1,946","1,849","1,851","1,922","1,378","1,222","1,259","1,354",866,881,926,943,263,619,741,563,619,"1,118","1,296","1,077","1,179","1,313","1,831","2,193","2,257","2,661","3,049","3,024","3,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,"4,982","5,101","5,134","5,356","5,510","5,577","5,852","5,783","6,594","7,073","7,021","7,673","8,190","8,483","8,466","7,901","9,607","10,161","10,667","8,729","2,472","2,006","3,170","2,224","2,927","3,019","2,765","2,162","2,310","2,516","1,653","1,733","1,783","2,492","2,422","2,476","2,642","2,203","1,936","2,001","2,290","1,325","1,315","1,401","1,436","1,886","3,619","4,972","5,787","6,637","7,751","7,844","7,116","7,619","8,064","7,744","7,597","7,912","8,035","8,544","7,722","8,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,"35,680","34,417","35,826","38,613","39,016","39,916","42,760","44,550","49,556","51,489","51,035","49,968","54,389","56,250","52,429","50,007","56,507","59,953","65,357","69,419","90,049","83,698","105,523","94,585","112,695","114,488","118,872","108,785","114,445","233,039","199,621","213,746","231,574","217,481","215,930","220,410","240,413","231,427","205,607","204,197","195,106","158,138","174,380","188,488","179,495","187,675","192,085","199,921","242,563","272,931","289,743","288,638","287,354","301,827","298,010","293,757","290,005","306,615","314,801","315,365","316,100","353,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
