Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
EMPLOYMENT STATUS,Header,Alabama,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Alabama,"4,005,499","±1,780","4,005,499",(X),2021
        In labor force,EMPLOYMENT STATUS,Alabama,"2,313,616","±8,825",57.8%,±0.2,2021
            Civilian labor force,EMPLOYMENT STATUS,Alabama,"2,298,013","±8,669",57.4%,±0.2,2021
                Employed,EMPLOYMENT STATUS,Alabama,"2,173,597","±8,587",54.3%,±0.2,2021
                Unemployed,EMPLOYMENT STATUS,Alabama,"124,416","±3,443",3.1%,±0.1,2021
            Armed Forces,EMPLOYMENT STATUS,Alabama,"15,603","±1,127",0.4%,±0.1,2021
        Not in labor force,EMPLOYMENT STATUS,Alabama,"1,691,883","±9,003",42.2%,±0.2,2021
    Civilian labor force,EMPLOYMENT STATUS,Alabama,"2,298,013","±8,669","2,298,013",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Alabama,(X),(X),5.4%,±0.1,2021
Females 16 years and over,EMPLOYMENT STATUS,Alabama,"2,083,785","±1,564","2,083,785",(X),2021
        In labor force,EMPLOYMENT STATUS,Alabama,"1,100,270","±6,629",52.8%,±0.3,2021
            Civilian labor force,EMPLOYMENT STATUS,Alabama,"1,098,325","±6,670",52.7%,±0.3,2021
                Employed,EMPLOYMENT STATUS,Alabama,"1,037,715","±6,261",49.8%,±0.3,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Alabama,"331,780","±2,674","331,780",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Alabama,"217,267","±3,315",65.5%,±0.9,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Alabama,"705,657","±3,170","705,657",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Alabama,"493,331","±5,648",69.9%,±0.7,2021
COMMUTING TO WORK,Header,Alabama,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Alabama,"2,146,674","±8,427","2,146,674",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Alabama,"1,798,537","±9,479",83.8%,±0.3,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Alabama,"177,167","±4,310",8.3%,±0.2,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Alabama,"7,097","±1,091",0.3%,±0.1,2021
        Walked,COMMUTING TO WORK,Alabama,"23,088","±1,441",1.1%,±0.1,2021
        Other means,COMMUTING TO WORK,Alabama,"20,062","±1,482",0.9%,±0.1,2021
        Worked from home,COMMUTING TO WORK,Alabama,"120,723","±3,437",5.6%,±0.2,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Alabama,25.2,±0.1,(X),(X),2021
OCCUPATION,Header,Alabama,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Alabama,"2,173,597","±8,587","2,173,597",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Alabama,"785,092","±8,150",36.1%,±0.3,2021
        Service occupations,OCCUPATION,Alabama,"348,756","±5,370",16.0%,±0.2,2021
        Sales and office occupations,OCCUPATION,Alabama,"457,988","±5,199",21.1%,±0.2,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Alabama,"207,916","±4,387",9.6%,±0.2,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Alabama,"373,845","±5,258",17.2%,±0.2,2021
INDUSTRY,Header,Alabama,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Alabama,"2,173,597","±8,587","2,173,597",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Alabama,"29,983","±1,866",1.4%,±0.1,2021
        Construction,INDUSTRY,Alabama,"149,793","±2,881",6.9%,±0.1,2021
        Manufacturing,INDUSTRY,Alabama,"308,175","±4,531",14.2%,±0.2,2021
        Wholesale trade,INDUSTRY,Alabama,"51,966","±1,840",2.4%,±0.1,2021
        Retail trade,INDUSTRY,Alabama,"253,980","±4,506",11.7%,±0.2,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Alabama,"122,807","±2,828",5.6%,±0.1,2021
        Information,INDUSTRY,Alabama,"29,916","±1,623",1.4%,±0.1,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Alabama,"120,530","±2,900",5.5%,±0.1,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Alabama,"211,643","±4,449",9.7%,±0.2,2021
"        Educational services, and health care and social assistance",INDUSTRY,Alabama,"491,023","±6,131",22.6%,±0.3,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Alabama,"180,361","±4,070",8.3%,±0.2,2021
"        Other services, except public administration",INDUSTRY,Alabama,"105,226","±2,975",4.8%,±0.1,2021
        Public administration,INDUSTRY,Alabama,"118,194","±2,854",5.4%,±0.1,2021
CLASS OF WORKER,Header,Alabama,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Alabama,"2,173,597","±8,587","2,173,597",(X),2021
