State,Drill,co2
AL,61.39,67.15
AK,48.4,69.14
AZ,52.8,71.21
AR,55.77,67.11
CA,39.44,74.12
CO,42.39,71.71
CT,47.52,75.65
DE,49.81,72.62
DC,32.02,79.77
FL,44.42,72.53
GA,52.18,71.04
HI,48.89,71.87
ID,46.91,67.83
IL,48.71,75.82
IN,56.19,68.96
IA,48.61,69.37
KS,53.46,67.85
KY,59.25,66.36
LA,63.37,66.52
ME,52.34,72.15
MD,41.76,76.35
MA,43.29,77.35
MI,49.71,73.71
MN,48.18,71.5
MS,62.11,69.33
MO,53.43,68.34
MT,46.59,68.22
NE,52.98,67.98
NV,50.41,71.17
NH,48.95,73.48
NJ,44.24,77.82
NM,47.54,70.48
NY,47.2,78.19
NC,52.88,71.51
ND,63.66,63.16
OH,56.23,70.9
OK,58.02,65.67
OR,38.64,72.16
PA,51.92,72.9
RI,49.76,73.95
SC,52.54,69.35
SD,54.42,68.49
TN,57.23,68.13
TX,54.45,69.51
UT,49.91,67.72
VT,46.37,75.71
VA,47.38,73.24
WA,38.62,73.0
WV,58.18,62.75
WI,52.42,72.36
WY,59.12,62.29
Average,50.62764705882353,70.8921568627451
