geotype,geoid,geoname,varname,x2021
county,1001,"Autauga County, AL",co2limits,53.31
county,1003,"Baldwin County, AL",co2limits,53.07
county,1005,"Barbour County, AL",co2limits,63.82
county,1007,"Bibb County, AL",co2limits,52.1
county,1009,"Blount County, AL",co2limits,47.6
county,1011,"Bullock County, AL",co2limits,70.42
county,1013,"Butler County, AL",co2limits,60.54
county,1015,"Calhoun County, AL",co2limits,57.54
county,1017,"Chambers County, AL",co2limits,61.04
county,1019,"Cherokee County, AL",co2limits,51.0
county,1021,"Chilton County, AL",co2limits,52.14
county,1023,"Choctaw County, AL",co2limits,59.93
county,1025,"Clarke County, AL",co2limits,55.45
county,1027,"Clay County, AL",co2limits,51.55
county,1029,"Cleburne County, AL",co2limits,49.25
county,1031,"Coffee County, AL",co2limits,53.37
county,1033,"Colbert County, AL",co2limits,50.44
county,1035,"Conecuh County, AL",co2limits,60.48
county,1037,"Coosa County, AL",co2limits,58.51
county,1039,"Covington County, AL",co2limits,49.12
county,1041,"Crenshaw County, AL",co2limits,57.77
county,1043,"Cullman County, AL",co2limits,48.24
county,1045,"Dale County, AL",co2limits,54.54
county,1047,"Dallas County, AL",co2limits,68.19
county,1049,"DeKalb County, AL",co2limits,52.71
county,1051,"Elmore County, AL",co2limits,53.99
county,1053,"Escambia County, AL",co2limits,55.37
county,1055,"Etowah County, AL",co2limits,54.09
county,1057,"Fayette County, AL",co2limits,50.56
county,1059,"Franklin County, AL",co2limits,53.03
county,1061,"Geneva County, AL",co2limits,49.98
county,1063,"Greene County, AL",co2limits,63.01
county,1065,"Hale County, AL",co2limits,66.19
county,1067,"Henry County, AL",co2limits,55.33
county,1069,"Houston County, AL",co2limits,53.82
county,1071,"Jackson County, AL",co2limits,45.78
county,1073,"Jefferson County, AL",co2limits,69.06
county,1075,"Lamar County, AL",co2limits,48.27
county,1077,"Lauderdale County, AL",co2limits,55.59
county,1079,"Lawrence County, AL",co2limits,52.78
county,1081,"Lee County, AL",co2limits,62.12
county,1083,"Limestone County, AL",co2limits,54.32
county,1085,"Lowndes County, AL",co2limits,66.56
county,1087,"Macon County, AL",co2limits,70.5
county,1089,"Madison County, AL",co2limits,63.46
county,1091,"Marengo County, AL",co2limits,61.69
county,1093,"Marion County, AL",co2limits,49.58
county,1095,"Marshall County, AL",co2limits,50.43
county,1097,"Mobile County, AL",co2limits,59.19
county,1099,"Monroe County, AL",co2limits,59.94
county,1101,"Montgomery County, AL",co2limits,71.54
county,1103,"Morgan County, AL",co2limits,52.11
county,1105,"Perry County, AL",co2limits,69.79
county,1107,"Pickens County, AL",co2limits,62.64
county,1109,"Pike County, AL",co2limits,61.96
county,1111,"Randolph County, AL",co2limits,51.84
county,1113,"Russell County, AL",co2limits,65.8
county,1115,"St. Clair County, AL",co2limits,50.93
county,1117,"Shelby County, AL",co2limits,54.3
county,1119,"Sumter County, AL",co2limits,69.04
county,1121,"Talladega County, AL",co2limits,58.16
county,1123,"Tallapoosa County, AL",co2limits,55.11
county,1125,"Tuscaloosa County, AL",co2limits,62.47
county,1127,"Walker County, AL",co2limits,46.43
county,1129,"Washington County, AL",co2limits,49.13
county,1131,"Wilcox County, AL",co2limits,55.91
county,1133,"Winston County, AL",co2limits,50.41
county,2013,"Aleutians East Borough, AK",co2limits,66.12
county,2016,"Aleutians West Census Area, AK",co2limits,56.4
county,2020,"Anchorage Municipality, AK",co2limits,64.27
county,2050,"Bethel Census Area, AK",co2limits,66.08
county,2060,"Bristol Bay Borough, AK",co2limits,59.5
county,2068,"Denali Borough, AK",co2limits,60.93
county,2070,"Dillingham Census Area, AK",co2limits,66.29
county,2090,"Fairbanks North Star Borough, AK",co2limits,63.44
county,2100,"Haines Borough, AK",co2limits,62.23
county,2105,"Hoonah-Angoon Census Area, AK",co2limits,59.82
county,2110,"Juneau City and Borough, AK",co2limits,67.13
county,2122,"Kenai Peninsula Borough, AK",co2limits,64.93
county,2130,"Ketchikan Gateway Borough, AK",co2limits,67.47
county,2150,"Kodiak Island Borough, AK",co2limits,67.59
county,2158,"Kusilvak Census Area, AK",co2limits,65.97
county,2164,"Lake and Peninsula Borough, AK",co2limits,65.38
county,2170,"Matanuska-Susitna Borough, AK",co2limits,63.72
county,2180,"Nome Census Area, AK",co2limits,66.6
county,2185,"North Slope Borough, AK",co2limits,66.58
county,2188,"Northwest Arctic Borough, AK",co2limits,66.27
county,2195,"Petersburg Borough, AK",co2limits,67.56
county,2195,"Petersburg Census Area, AK",co2limits,
county,2198,"Prince of Wales-Hyder Census Area, AK",co2limits,65.84
county,2220,"Sitka City and Borough, AK",co2limits,68.13
county,2230,"Skagway Municipality, AK",co2limits,56.84
county,2240,"Southeast Fairbanks Census Area, AK",co2limits,65.11
county,2261,"Valdez-Cordova Census Area, AK",co2limits,64.82
county,2270,"Wade Hampton Census Area, AK",co2limits,
county,2275,"Wrangell City and Borough, AK",co2limits,66.49
county,2282,"Yakutat City and Borough, AK",co2limits,65.86
county,2290,"Yukon-Koyukuk Census Area, AK",co2limits,63.73
county,4001,"Apache County, AZ",co2limits,59.45
county,4003,"Cochise County, AZ",co2limits,58.95
county,4005,"Coconino County, AZ",co2limits,66.17
county,4007,"Gila County, AZ",co2limits,57.33
county,4009,"Graham County, AZ",co2limits,56.81
county,4011,"Greenlee County, AZ",co2limits,57.33
county,4012,"La Paz County, AZ",co2limits,58.11
county,4013,"Maricopa County, AZ",co2limits,62.09
county,4015,"Mohave County, AZ",co2limits,52.73
county,4017,"Navajo County, AZ",co2limits,60.97
county,4019,"Pima County, AZ",co2limits,72.09
county,4021,"Pinal County, AZ",co2limits,62.58
county,4023,"Santa Cruz County, AZ",co2limits,71.4
county,4025,"Yavapai County, AZ",co2limits,60.42
county,4027,"Yuma County, AZ",co2limits,64.54
