geotype,geoid,geoname,varname,x2021,Cluster
county,1001,"Autauga County, AL",co2limits,53.31,Cluster 1
county,1003,"Baldwin County, AL",co2limits,53.07,Cluster 1
county,1005,"Barbour County, AL",co2limits,63.82,Cluster 1
county,1007,"Bibb County, AL",co2limits,52.1,Cluster 1
county,1009,"Blount County, AL",co2limits,47.6,Cluster 1
county,1011,"Bullock County, AL",co2limits,70.42,Cluster 1
county,1013,"Butler County, AL",co2limits,60.54,Cluster 1
county,1015,"Calhoun County, AL",co2limits,57.54,Cluster 1
county,1017,"Chambers County, AL",co2limits,61.04,Cluster 1
county,1019,"Cherokee County, AL",co2limits,51.0,Cluster 1
county,1021,"Chilton County, AL",co2limits,52.14,Cluster 1
county,1023,"Choctaw County, AL",co2limits,59.93,Cluster 1
county,1025,"Clarke County, AL",co2limits,55.45,Cluster 1
county,1027,"Clay County, AL",co2limits,51.55,Cluster 1
county,1029,"Cleburne County, AL",co2limits,49.25,Cluster 1
county,1031,"Coffee County, AL",co2limits,53.37,Cluster 1
county,1033,"Colbert County, AL",co2limits,50.44,Cluster 1
county,1035,"Conecuh County, AL",co2limits,60.48,Cluster 1
county,1037,"Coosa County, AL",co2limits,58.51,Cluster 1
county,1039,"Covington County, AL",co2limits,49.12,Cluster 1
county,1041,"Crenshaw County, AL",co2limits,57.77,Cluster 1
county,1043,"Cullman County, AL",co2limits,48.24,Cluster 1
county,1045,"Dale County, AL",co2limits,54.54,Cluster 1
county,1047,"Dallas County, AL",co2limits,68.19,Cluster 1
county,1049,"DeKalb County, AL",co2limits,52.71,Cluster 1
county,1051,"Elmore County, AL",co2limits,53.99,Cluster 1
county,1053,"Escambia County, AL",co2limits,55.37,Cluster 1
county,1055,"Etowah County, AL",co2limits,54.09,Cluster 1
county,1057,"Fayette County, AL",co2limits,50.56,Cluster 1
county,1059,"Franklin County, AL",co2limits,53.03,Cluster 1
county,1061,"Geneva County, AL",co2limits,49.98,Cluster 1
county,1063,"Greene County, AL",co2limits,63.01,Cluster 1
county,1065,"Hale County, AL",co2limits,66.19,Cluster 1
county,1067,"Henry County, AL",co2limits,55.33,Cluster 1
county,1069,"Houston County, AL",co2limits,53.82,Cluster 1
county,1071,"Jackson County, AL",co2limits,45.78,Cluster 1
county,1073,"Jefferson County, AL",co2limits,69.06,Cluster 1
county,1075,"Lamar County, AL",co2limits,48.27,Cluster 1
county,1077,"Lauderdale County, AL",co2limits,55.59,Cluster 1
county,1079,"Lawrence County, AL",co2limits,52.78,Cluster 1
county,1081,"Lee County, AL",co2limits,62.12,Cluster 1
county,1083,"Limestone County, AL",co2limits,54.32,Cluster 1
county,1085,"Lowndes County, AL",co2limits,66.56,Cluster 1
county,1087,"Macon County, AL",co2limits,70.5,Cluster 1
county,1089,"Madison County, AL",co2limits,63.46,Cluster 1
county,1091,"Marengo County, AL",co2limits,61.69,Cluster 1
county,1093,"Marion County, AL",co2limits,49.58,Cluster 1
county,1095,"Marshall County, AL",co2limits,50.43,Cluster 1
county,1097,"Mobile County, AL",co2limits,59.19,Cluster 1
county,1099,"Monroe County, AL",co2limits,59.94,Cluster 1
county,1101,"Montgomery County, AL",co2limits,71.54,Cluster 1
county,1103,"Morgan County, AL",co2limits,52.11,Cluster 1
county,1105,"Perry County, AL",co2limits,69.79,Cluster 1
county,1107,"Pickens County, AL",co2limits,62.64,Cluster 1
county,1109,"Pike County, AL",co2limits,61.96,Cluster 1
county,1111,"Randolph County, AL",co2limits,51.84,Cluster 1
county,1113,"Russell County, AL",co2limits,65.8,Cluster 1
county,1115,"St. Clair County, AL",co2limits,50.93,Cluster 1
county,1117,"Shelby County, AL",co2limits,54.3,Cluster 1
