geotype,geoid,geoname,varname,x2018,x2019,x2020,x2021,x2022,x2023
state,1,Alabama,drillanwrOppose,59.56,62.02,62.87,63.63,63.87,63.45
state,2,Alaska,drillanwrOppose,63.35,64.04,67.16,68.77,69.06,68.8
state,4,Arizona,drillanwrOppose,61.17,60.8,63.02,65.08,66.99,67.78
state,5,Arkansas,drillanwrOppose,58.92,60.18,63.3,64.06,63.88,62.81
state,6,California,drillanwrOppose,70.39,71.06,71.75,72.2,73.12,73.56
state,8,Colorado,drillanwrOppose,66.04,69.73,69.79,71.41,73.04,73.33
state,9,Connecticut,drillanwrOppose,67.76,69.25,69.06,71.29,72.11,72.45
state,10,Delaware,drillanwrOppose,64.78,67.62,67.32,68.95,70.18,71.05
state,11,District of Columbia,drillanwrOppose,75.53,77.56,77.18,79.46,79.7,80.14
state,12,Florida,drillanwrOppose,62.55,64.31,65.77,67.74,69.06,69.23
state,13,Georgia,drillanwrOppose,61.91,60.72,62.16,64.63,66.56,67.2
state,15,Hawaii,drillanwrOppose,72.51,71.98,73.42,68.7,72.98,72.98
state,16,Idaho,drillanwrOppose,58.57,63.92,65.51,65.64,65.97,65.51
state,17,Illinois,drillanwrOppose,69.1,69.53,69.8,71.42,71.51,71.53
state,18,Indiana,drillanwrOppose,60.06,62.89,64.56,66.36,65.46,65.01
state,19,Iowa,drillanwrOppose,61.47,64.0,65.69,66.85,67.33,67.04
state,20,Kansas,drillanwrOppose,60.32,61.27,61.95,63.62,64.67,64.72
state,21,Kentucky,drillanwrOppose,59.38,62.29,63.29,63.52,63.39,63.04
state,22,Louisiana,drillanwrOppose,61.71,63.9,63.59,64.14,64.28,64.25
state,23,Maine,drillanwrOppose,63.59,68.12,67.96,69.69,71.19,71.59
state,24,Maryland,drillanwrOppose,70.95,73.21,73.99,76.51,76.55,76.52
state,25,Massachusetts,drillanwrOppose,70.94,74.14,74.66,76.53,76.22,76.31
state,26,Michigan,drillanwrOppose,64.79,68.56,68.11,70.01,70.75,70.76
state,27,Minnesota,drillanwrOppose,65.23,68.77,68.11,69.91,71.25,71.38
state,28,Mississippi,drillanwrOppose,61.06,59.74,61.53,63.04,63.56,63.41
state,29,Missouri,drillanwrOppose,59.79,62.72,63.26,64.81,65.92,65.85
state,30,Montana,drillanwrOppose,61.38,62.35,65.77,67.15,67.82,67.4
state,31,Nebraska,drillanwrOppose,59.4,60.55,64.41,65.81,65.78,65.3
