geotype,geoid,geoname,varname,x2021
state,1,Alabama,co2limits,59.43
state,2,Alaska,co2limits,61.74
state,4,Arizona,co2limits,64.7
state,5,Arkansas,co2limits,61.39
state,6,California,co2limits,70.87
state,8,Colorado,co2limits,66.34
state,9,Connecticut,co2limits,71.5
state,10,Delaware,co2limits,65.83
state,11,District of Columbia,co2limits,75.12
state,12,Florida,co2limits,66.18
state,13,Georgia,co2limits,63.46
state,15,Hawaii,co2limits,65.78
state,16,Idaho,co2limits,61.65
state,17,Illinois,co2limits,69.7
state,18,Indiana,co2limits,58.44
state,19,Iowa,co2limits,62.73
state,20,Kansas,co2limits,59.61
state,21,Kentucky,co2limits,54.58
state,22,Louisiana,co2limits,57.29
state,23,Maine,co2limits,61.75
state,24,Maryland,co2limits,74.31
state,25,Massachusetts,co2limits,72.67
state,26,Michigan,co2limits,66.77
state,27,Minnesota,co2limits,66.27
state,28,Mississippi,co2limits,62.93
state,29,Missouri,co2limits,60.37
state,30,Montana,co2limits,60.46
state,31,Nebraska,co2limits,60.0
state,32,Nevada,co2limits,64.92
state,33,New Hampshire,co2limits,67.57
state,34,New Jersey,co2limits,73.77
state,35,New Mexico,co2limits,64.81
state,36,New York,co2limits,73.14
state,37,North Carolina,co2limits,66.41
state,38,North Dakota,co2limits,48.6
state,39,Ohio,co2limits,60.65
state,40,Oklahoma,co2limits,56.95
state,41,Oregon,co2limits,66.47
state,42,Pennsylvania,co2limits,64.95
state,44,Rhode Island,co2limits,67.3
state,45,South Carolina,co2limits,63.5
state,46,South Dakota,co2limits,63.23
state,47,Tennessee,co2limits,59.85
state,48,Texas,co2limits,63.93
state,49,Utah,co2limits,60.42
state,50,Vermont,co2limits,70.03
state,51,Virginia,co2limits,69.42
state,53,Washington,co2limits,69.85
state,54,West Virginia,co2limits,47.46
state,55,Wisconsin,co2limits,64.88
state,56,Wyoming,co2limits,48.52
state,1,Alabama,drilloffshore,61.39
state,2,Alaska,drilloffshore,48.4
state,4,Arizona,drilloffshore,52.8
state,5,Arkansas,drilloffshore,55.77
state,6,California,drilloffshore,39.44
state,8,Colorado,drilloffshore,42.39
state,9,Connecticut,drilloffshore,47.52
state,10,Delaware,drilloffshore,49.81
state,11,District of Columbia,drilloffshore,32.02
state,12,Florida,drilloffshore,44.42
state,13,Georgia,drilloffshore,52.18
state,15,Hawaii,drilloffshore,48.89
state,16,Idaho,drilloffshore,46.91
state,17,Illinois,drilloffshore,48.71
state,18,Indiana,drilloffshore,56.19
state,19,Iowa,drilloffshore,48.61
state,20,Kansas,drilloffshore,53.46
state,21,Kentucky,drilloffshore,59.25
state,22,Louisiana,drilloffshore,63.37
