geotype,geoid,geoname,varname,x2021,State,Cluster
county,22001,"Acadia Parish, LA",co2limits,51.2,LA,1.0
county,22003,"Allen Parish, LA",co2limits,52.55,LA,1.0
county,22005,"Ascension Parish, LA",co2limits,54.62,LA,1.0
county,22007,"Assumption Parish, LA",co2limits,56.25,LA,1.0
county,22009,"Avoyelles Parish, LA",co2limits,56.31,LA,1.0
county,22011,"Beauregard Parish, LA",co2limits,49.36,LA,1.0
county,22013,"Bienville Parish, LA",co2limits,58.28,LA,1.0
county,22015,"Bossier Parish, LA",co2limits,56.53,LA,1.0
county,22017,"Caddo Parish, LA",co2limits,63.23,LA,1.0
county,22019,"Calcasieu Parish, LA",co2limits,52.18,LA,1.0
county,22021,"Caldwell Parish, LA",co2limits,49.94,LA,1.0
county,22023,"Cameron Parish, LA",co2limits,40.09,LA,1.0
county,22025,"Catahoula Parish, LA",co2limits,52.31,LA,1.0
county,22027,"Claiborne Parish, LA",co2limits,60.02,LA,1.0
county,22029,"Concordia Parish, LA",co2limits,55.53,LA,1.0
county,22031,"De Soto Parish, LA",co2limits,50.11,LA,1.0
county,22033,"East Baton Rouge Parish, LA",co2limits,64.57,LA,1.0
county,22035,"East Carroll Parish, LA",co2limits,64.1,LA,1.0
county,22037,"East Feliciana Parish, LA",co2limits,58.86,LA,1.0
county,22039,"Evangeline Parish, LA",co2limits,53.66,LA,1.0
county,22041,"Franklin Parish, LA",co2limits,54.02,LA,1.0
county,22043,"Grant Parish, LA",co2limits,51.75,LA,1.0
county,22045,"Iberia Parish, LA",co2limits,56.26,LA,1.0
county,22047,"Iberville Parish, LA",co2limits,54.87,LA,1.0
county,22049,"Jackson Parish, LA",co2limits,54.58,LA,1.0
county,22051,"Jefferson Parish, LA",co2limits,65.34,LA,1.0
county,22053,"Jefferson Davis Parish, LA",co2limits,53.63,LA,1.0
county,22055,"Lafayette Parish, LA",co2limits,59.36,LA,1.0
county,22057,"Lafourche Parish, LA",co2limits,51.88,LA,1.0
county,22059,"LaSalle Parish, LA",co2limits,50.82,LA,1.0
county,22061,"Lincoln Parish, LA",co2limits,60.46,LA,1.0
county,22063,"Livingston Parish, LA",co2limits,50.5,LA,1.0
county,22065,"Madison Parish, LA",co2limits,65.69,LA,1.0
county,22067,"Morehouse Parish, LA",co2limits,58.55,LA,1.0
county,22069,"Natchitoches Parish, LA",co2limits,60.33,LA,1.0
county,22071,"Orleans Parish, LA",co2limits,75.54,LA,1.0
county,22073,"Ouachita Parish, LA",co2limits,58.42,LA,1.0
county,22075,"Plaquemines Parish, LA",co2limits,48.57,LA,1.0
county,22077,"Pointe Coupee Parish, LA",co2limits,50.8,LA,1.0
county,22079,"Rapides Parish, LA",co2limits,54.8,LA,1.0
county,22081,"Red River Parish, LA",co2limits,59.26,LA,1.0
county,22083,"Richland Parish, LA",co2limits,56.93,LA,1.0
county,22085,"Sabine Parish, LA",co2limits,52.22,LA,1.0
county,22087,"St. Bernard Parish, LA",co2limits,55.56,LA,1.0
county,22089,"St. Charles Parish, LA",co2limits,44.05,LA,1.0
county,22091,"St. Helena Parish, LA",co2limits,66.09,LA,1.0
county,22093,"St. James Parish, LA",co2limits,56.69,LA,1.0
county,22095,"St. John the Baptist Parish, LA",co2limits,61.39,LA,1.0
county,22097,"St. Landry Parish, LA",co2limits,58.57,LA,1.0
county,22099,"St. Martin Parish, LA",co2limits,57.24,LA,1.0
county,22101,"St. Mary Parish, LA",co2limits,55.33,LA,1.0
county,22103,"St. Tammany Parish, LA",co2limits,56.31,LA,1.0
county,22105,"Tangipahoa Parish, LA",co2limits,59.71,LA,1.0
county,22107,"Tensas Parish, LA",co2limits,61.39,LA,1.0
county,22109,"Terrebonne Parish, LA",co2limits,54.98,LA,1.0
county,22111,"Union Parish, LA",co2limits,53.13,LA,1.0
county,22113,"Vermilion Parish, LA",co2limits,53.79,LA,1.0
county,22115,"Vernon Parish, LA",co2limits,51.22,LA,1.0
county,22117,"Washington Parish, LA",co2limits,57.5,LA,1.0
county,22119,"Webster Parish, LA",co2limits,54.59,LA,1.0
county,22121,"West Baton Rouge Parish, LA",co2limits,55.13,LA,1.0
county,22123,"West Carroll Parish, LA",co2limits,49.11,LA,1.0
county,22125,"West Feliciana Parish, LA",co2limits,44.63,LA,1.0
county,22127,"Winn Parish, LA",co2limits,52.87,LA,1.0
county,28001,"Adams County, MS",co2limits,65.63,MS,1.0
county,28003,"Alcorn County, MS",co2limits,50.31,MS,1.0
county,28005,"Amite County, MS",co2limits,58.67,MS,1.0
county,28007,"Attala County, MS",co2limits,58.35,MS,1.0
county,28009,"Benton County, MS",co2limits,53.83,MS,1.0
county,28011,"Bolivar County, MS",co2limits,68.97,MS,1.0
county,28013,"Calhoun County, MS",co2limits,54.18,MS,1.0
county,28015,"Carroll County, MS",co2limits,53.21,MS,1.0
county,28017,"Chickasaw County, MS",co2limits,61.24,MS,1.0
county,28019,"Choctaw County, MS",co2limits,42.17,MS,1.0
county,28021,"Claiborne County, MS",co2limits,69.24,MS,1.0
county,28023,"Clarke County, MS",co2limits,56.33,MS,1.0
county,28025,"Clay County, MS",co2limits,65.15,MS,1.0
county,28027,"Coahoma County, MS",co2limits,71.28,MS,1.0
county,28029,"Copiah County, MS",co2limits,61.86,MS,1.0
county,28031,"Covington County, MS",co2limits,56.41,MS,1.0
county,28033,"DeSoto County, MS",co2limits,57.56,MS,1.0
county,28035,"Forrest County, MS",co2limits,62.75,MS,1.0
county,28037,"Franklin County, MS",co2limits,56.09,MS,1.0
county,28039,"George County, MS",co2limits,53.84,MS,1.0
county,28041,"Greene County, MS",co2limits,54.31,MS,1.0
county,28043,"Grenada County, MS",co2limits,59.33,MS,1.0
county,28045,"Hancock County, MS",co2limits,49.81,MS,1.0
county,28047,"Harrison County, MS",co2limits,56.14,MS,1.0
county,28049,"Hinds County, MS",co2limits,69.18,MS,1.0
county,28051,"Holmes County, MS",co2limits,69.59,MS,1.0
county,28053,"Humphreys County, MS",co2limits,71.18,MS,1.0
county,28055,"Issaquena County, MS",co2limits,59.33,MS,1.0
county,28057,"Itawamba County, MS",co2limits,48.72,MS,1.0
county,28059,"Jackson County, MS",co2limits,52.68,MS,1.0
county,28061,"Jasper County, MS",co2limits,60.69,MS,1.0
county,28063,"Jefferson County, MS",co2limits,68.61,MS,1.0
county,28065,"Jefferson Davis County, MS",co2limits,62.59,MS,1.0
county,28067,"Jones County, MS",co2limits,53.35,MS,1.0
county,28069,"Kemper County, MS",co2limits,66.55,MS,1.0
county,28071,"Lafayette County, MS",co2limits,62.29,MS,1.0
county,28073,"Lamar County, MS",co2limits,53.42,MS,1.0
county,28075,"Lauderdale County, MS",co2limits,60.01,MS,1.0
county,28077,"Lawrence County, MS",co2limits,56.17,MS,1.0
county,28079,"Leake County, MS",co2limits,62.39,MS,1.0
county,28081,"Lee County, MS",co2limits,54.46,MS,1.0
county,28083,"Leflore County, MS",co2limits,67.71,MS,1.0
county,28085,"Lincoln County, MS",co2limits,52.98,MS,1.0
county,28087,"Lowndes County, MS",co2limits,60.36,MS,1.0
county,28089,"Madison County, MS",co2limits,61.11,MS,1.0
county,28091,"Marion County, MS",co2limits,55.64,MS,1.0
county,28093,"Marshall County, MS",co2limits,62.67,MS,1.0
county,28095,"Monroe County, MS",co2limits,55.13,MS,1.0
county,28097,"Montgomery County, MS",co2limits,58.4,MS,1.0
county,28099,"Neshoba County, MS",co2limits,57.34,MS,1.0
county,28101,"Newton County, MS",co2limits,56.86,MS,1.0
county,28103,"Noxubee County, MS",co2limits,69.74,MS,1.0
county,28105,"Oktibbeha County, MS",co2limits,63.63,MS,1.0
county,28107,"Panola County, MS",co2limits,59.46,MS,1.0
county,28109,"Pearl River County, MS",co2limits,52.96,MS,1.0
county,28111,"Perry County, MS",co2limits,51.58,MS,1.0
county,28113,"Pike County, MS",co2limits,62.52,MS,1.0
county,28115,"Pontotoc County, MS",co2limits,50.85,MS,1.0
county,28117,"Prentiss County, MS",co2limits,51.6,MS,1.0
county,28119,"Quitman County, MS",co2limits,68.31,MS,1.0
county,28121,"Rankin County, MS",co2limits,52.93,MS,1.0
county,28123,"Scott County, MS",co2limits,62.57,MS,1.0
county,28125,"Sharkey County, MS",co2limits,67.68,MS,1.0
county,28127,"Simpson County, MS",co2limits,55.07,MS,1.0
county,28129,"Smith County, MS",co2limits,50.78,MS,1.0
county,28131,"Stone County, MS",co2limits,55.48,MS,1.0
county,28133,"Sunflower County, MS",co2limits,69.82,MS,1.0
county,28135,"Tallahatchie County, MS",co2limits,66.58,MS,1.0
county,28137,"Tate County, MS",co2limits,54.26,MS,1.0
county,28139,"Tippah County, MS",co2limits,52.65,MS,1.0
county,28141,"Tishomingo County, MS",co2limits,46.26,MS,1.0
county,28143,"Tunica County, MS",co2limits,67.99,MS,1.0
county,28145,"Union County, MS",co2limits,49.21,MS,1.0
county,28147,"Walthall County, MS",co2limits,60.78,MS,1.0
county,28149,"Warren County, MS",co2limits,60.46,MS,1.0
county,28151,"Washington County, MS",co2limits,66.97,MS,1.0
county,28153,"Wayne County, MS",co2limits,59.39,MS,1.0
county,28155,"Webster County, MS",co2limits,48.85,MS,1.0
county,28157,"Wilkinson County, MS",co2limits,67.37,MS,1.0
county,28159,"Winston County, MS",co2limits,62.75,MS,1.0
county,28161,"Yalobusha County, MS",co2limits,57.08,MS,1.0
county,28163,"Yazoo County, MS",co2limits,65.84,MS,1.0
county,41001,"Baker County, OR",co2limits,57.55,OR,2.0
county,41003,"Benton County, OR",co2limits,75.53,OR,2.0
county,41005,"Clackamas County, OR",co2limits,64.09,OR,2.0
county,41007,"Clatsop County, OR",co2limits,68.03,OR,2.0
county,41009,"Columbia County, OR",co2limits,60.82,OR,2.0
county,41011,"Coos County, OR",co2limits,60.72,OR,2.0
county,41013,"Crook County, OR",co2limits,55.64,OR,2.0
county,41015,"Curry County, OR",co2limits,63.14,OR,2.0
county,41017,"Deschutes County, OR",co2limits,69.08,OR,2.0
county,41019,"Douglas County, OR",co2limits,56.68,OR,2.0
county,41021,"Gilliam County, OR",co2limits,45.57,OR,2.0
county,41023,"Grant County, OR",co2limits,54.35,OR,2.0
county,41025,"Harney County, OR",co2limits,57.16,OR,2.0
county,41027,"Hood River County, OR",co2limits,74.91,OR,2.0
county,41029,"Jackson County, OR",co2limits,64.6,OR,2.0
county,41031,"Jefferson County, OR",co2limits,63.87,OR,2.0
county,41033,"Josephine County, OR",co2limits,61.44,OR,2.0
county,41035,"Klamath County, OR",co2limits,55.8,OR,2.0
county,41037,"Lake County, OR",co2limits,56.25,OR,2.0
county,41039,"Lane County, OR",co2limits,71.19,OR,2.0
county,41041,"Lincoln County, OR",co2limits,69.83,OR,2.0
county,41043,"Linn County, OR",co2limits,58.81,OR,2.0
county,41045,"Malheur County, OR",co2limits,57.55,OR,2.0
county,41047,"Marion County, OR",co2limits,65.63,OR,2.0
county,41049,"Morrow County, OR",co2limits,44.89,OR,2.0
county,41051,"Multnomah County, OR",co2limits,76.12,OR,2.0
county,41053,"Polk County, OR",co2limits,65.04,OR,2.0
county,41055,"Sherman County, OR",co2limits,51.36,OR,2.0
county,41057,"Tillamook County, OR",co2limits,65.04,OR,2.0
county,41059,"Umatilla County, OR",co2limits,55.27,OR,2.0
county,41061,"Union County, OR",co2limits,58.1,OR,2.0
county,41063,"Wallowa County, OR",co2limits,60.21,OR,2.0
county,41065,"Wasco County, OR",co2limits,65.81,OR,2.0
county,41067,"Washington County, OR",co2limits,74.82,OR,2.0
county,41069,"Wheeler County, OR",co2limits,59.35,OR,2.0
county,41071,"Yamhill County, OR",co2limits,63.24,OR,2.0
county,42001,"Adams County, PA",co2limits,57.86,PA,1.0
county,42003,"Allegheny County, PA",co2limits,74.31,PA,1.0
county,42005,"Armstrong County, PA",co2limits,44.79,PA,1.0
county,42007,"Beaver County, PA",co2limits,56.06,PA,1.0
county,42009,"Bedford County, PA",co2limits,49.75,PA,1.0
county,42011,"Berks County, PA",co2limits,64.47,PA,1.0
county,42013,"Blair County, PA",co2limits,54.34,PA,1.0
county,42015,"Bradford County, PA",co2limits,59.02,PA,1.0
county,42017,"Bucks County, PA",co2limits,63.75,PA,1.0
county,42019,"Butler County, PA",co2limits,55.38,PA,1.0
county,42021,"Cambria County, PA",co2limits,55.08,PA,1.0
county,42023,"Cameron County, PA",co2limits,54.9,PA,1.0
county,42025,"Carbon County, PA",co2limits,45.32,PA,1.0
county,42027,"Centre County, PA",co2limits,67.68,PA,1.0
county,42029,"Chester County, PA",co2limits,68.51,PA,1.0
county,42031,"Clarion County, PA",co2limits,54.66,PA,1.0
county,42033,"Clearfield County, PA",co2limits,52.84,PA,1.0
county,42035,"Clinton County, PA",co2limits,57.62,PA,1.0
county,42037,"Columbia County, PA",co2limits,57.43,PA,1.0
county,42039,"Crawford County, PA",co2limits,59.72,PA,1.0
county,42041,"Cumberland County, PA",co2limits,62.49,PA,1.0
county,42043,"Dauphin County, PA",co2limits,69.02,PA,1.0
county,42045,"Delaware County, PA",co2limits,70.02,PA,1.0
county,42047,"Elk County, PA",co2limits,54.24,PA,1.0
county,42049,"Erie County, PA",co2limits,66.33,PA,1.0
county,42051,"Fayette County, PA",co2limits,57.68,PA,1.0
county,42053,"Forest County, PA",co2limits,57.19,PA,1.0
county,42055,"Franklin County, PA",co2limits,56.43,PA,1.0
county,42057,"Fulton County, PA",co2limits,50.78,PA,1.0
county,42059,"Greene County, PA",co2limits,43.86,PA,1.0
county,42061,"Huntingdon County, PA",co2limits,54.98,PA,1.0
county,42063,"Indiana County, PA",co2limits,54.23,PA,1.0
county,42065,"Jefferson County, PA",co2limits,50.17,PA,1.0
county,42067,"Juniata County, PA",co2limits,54.34,PA,1.0
county,42069,"Lackawanna County, PA",co2limits,65.66,PA,1.0
county,42071,"Lancaster County, PA",co2limits,63.38,PA,1.0
county,42073,"Lawrence County, PA",co2limits,56.23,PA,1.0
county,42075,"Lebanon County, PA",co2limits,60.44,PA,1.0
county,42077,"Lehigh County, PA",co2limits,66.97,PA,1.0
county,42079,"Luzerne County, PA",co2limits,61.31,PA,1.0
county,42081,"Lycoming County, PA",co2limits,57.69,PA,1.0
county,42083,"McKean County, PA",co2limits,55.84,PA,1.0
county,42085,"Mercer County, PA",co2limits,60.73,PA,1.0
county,42087,"Mifflin County, PA",co2limits,53.59,PA,1.0
county,42089,"Monroe County, PA",co2limits,65.64,PA,1.0
county,42091,"Montgomery County, PA",co2limits,71.67,PA,1.0
county,42093,"Montour County, PA",co2limits,49.66,PA,1.0
county,42095,"Northampton County, PA",co2limits,62.61,PA,1.0
county,42097,"Northumberland County, PA",co2limits,56.02,PA,1.0
county,42099,"Perry County, PA",co2limits,55.67,PA,1.0
county,42101,"Philadelphia County, PA",co2limits,79.26,PA,1.0
county,42103,"Pike County, PA",co2limits,62.57,PA,1.0
county,42105,"Potter County, PA",co2limits,52.52,PA,1.0
county,42107,"Schuylkill County, PA",co2limits,54.92,PA,1.0
county,42109,"Snyder County, PA",co2limits,56.59,PA,1.0
county,42111,"Somerset County, PA",co2limits,54.79,PA,1.0
county,42113,"Sullivan County, PA",co2limits,57.03,PA,1.0
county,42115,"Susquehanna County, PA",co2limits,56.41,PA,1.0
