varname,vardesc,years_asked
affectweather,Estimated percentage who somewhat/strongly agree that global warming is affecting the weather in the United States,"2018, 2019, 2020, 2021, 2022, 2023"
affectweatherOppose,Estimated percentage who somewhat/strongly disagree that global warming is affecting the weather in the United States,"2018, 2019, 2020, 2021, 2022, 2023"
citizens,Estimated percentage who think citizens themselves should be doing more/much more to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
citizensOppose,Estimated percentage who think citizens themselves should be doing less/much less to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
co2limits,Estimated percentage who somewhat/strongly support setting strict limits on existing coal-fire power plants,"2014, 2016, 2018, 2019, 2020, 2021"
co2limitsOppose,Estimated percentage who somewhat/strongly oppose setting strict limits on existing coal-fire power plants,"2014, 2016, 2018, 2019, 2020, 2021"
congress,Estimated percentage who think Congress should be doing more/much more to address global warming,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
congressOppose,Estimated percentage who think Congress should be doing less/much less to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
consensus,Estimated percentage who believe that most scientists think global warming is happening,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
consensusOppose,Estimated percentage who believe there is a lot of disagreement among scientists about whether or not global warming is happening,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
corporations,Estimated percentage who think corporations and industy should be doing more/much more to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
corporationsOppose,Estimated percentage who think corporations and industy should be doing less/much less to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
devharm,Estimated percentage who think global warming will harm people in developing countries a moderate amount/a great deal,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
devharmOppose,Estimated percentage who think global warming will harm people in developing countries not at all/only a little,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
discuss,Estimated percentage who discuss global warming occassionally or often with friends and family,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
discussOppose,Estimated percentage who discuss global warming rarely or never with friends and family,"2016, 2018, 2019, 2020, 2021, 2022, 2023"
drillanwr,Estimated percentage who somewhat/strongly support drilling for oil in the Arctic National Wildlife Refuge,"2018, 2019, 2020, 2021, 2022, 2023"
drillanwrOppose,Estimated percentage who somewhat/strongly oppose drilling for oil in the Arctic National Wildlife Refuge,"2018, 2019, 2020, 2021, 2022, 2023"
drilloffshore,Estimated percentage who somewhat/strongly support expanding offshore drilling for oil and natural gas off the U.S. coast,"2018, 2019, 2020, 2021, 2022, 2023"
drilloffshoreOppose,Estimated percentage who somewhat/strongly oppose expanding offshore drilling for oil and natural gas off the U.S. coast,"2018, 2019, 2020, 2021, 2022, 2023"
exp,Estimated percentage who somewhat/strongly agree that they have personally experienced the effects of global warming,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
expOppose,Estimated percentage who strongly/somewhat disagree that they have personally experienced the effects of global warming,"2021, 2022, 2023"
fundrenewables,Estimated percentage who somewhat/strongly support funding research into renewable energy sources,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
fundrenewablesOppose,Estimated percentage who somewhat/strongly oppose funding research into renewable energy sources,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
futuregen,Estimated percentage who think global warming will harm future generations a moderate amount/a great deal,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
futuregenOppose,Estimated percentage who think global warming will harm future generations not at all/only a little,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
generaterenewable,Estimated percentage who somewhat or strongly support generating renewable energy on public land in the U.S,"2022, 2023"
generaterenewableOppose,Estimated percentage who somewhat or strongly oppose generating renewable energy on public land in the U.S,"2022, 2023"
governor,Estimated percentage who think their governor should be doing more/much more to address global warming,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
governorOppose,Estimated percentage who think their governor should be doing less/much less to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
gwvoteimp,Estimated percentage who say global warming should be a high priority for the next president and Congress,"2020, 2022, 2023"
